,Id,MSSubClass,LotFrontage,LotArea,Alley,LandSlope,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,SalePrice,MS_Zoning_group,LotShape_group,LandContour_group,LotConfig_group,Condition1_group,BldgType_group,HouseStyle_group,RoofStyle_group,Exterior1st_group,Exterior2nd_group,MasVnrType_group,ExterCond_group,Foundation_group,BsmtQual_group,BsmtCond_group,HeatingQC_group,Electrical_group,GarageCond_group,SaleType_group,SaleCondition_group
0,1,60,65.0,8450,No_alley_access,Gtl,CollgCr,7,5,2003,2003,196.0,Gd,No,GLQ,706,Unf,0,150,856,Y,856,854,0,1710,1,0,2,1,3,1,Gd,8,0,No_fireplace,Attchd,2003.0,RFn,2,548,TA,Y,0,61,0,0,0,0,No_pool,No_fence,0,2,2008,208500,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,BrkFace,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
1,2,20,80.0,9600,No_alley_access,Gtl,Veenker,6,8,1976,1976,0.0,TA,Gd,ALQ,978,Unf,0,284,1262,Y,1262,0,0,1262,0,1,2,0,3,1,TA,6,1,TA,Attchd,1976.0,RFn,2,460,TA,Y,298,0,0,0,0,0,No_pool,No_fence,0,5,2007,181500,FV/ RL,Reg,Lvl,CulDSac/ FR,RRAe/Feedr/Artery,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Wood/CBlock,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
2,3,60,68.0,11250,No_alley_access,Gtl,CollgCr,7,5,2001,2002,162.0,Gd,Mn,GLQ,486,Unf,0,434,920,Y,920,866,0,1786,1,0,2,1,3,1,Gd,6,1,TA,Attchd,2001.0,RFn,2,608,TA,Y,0,42,0,0,0,0,No_pool,No_fence,0,9,2008,223500,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,BrkFace,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
3,4,70,60.0,9550,No_alley_access,Gtl,Crawfor,7,5,1915,1970,0.0,TA,No,ALQ,216,Unf,0,540,756,Y,961,756,0,1717,1,0,1,0,3,1,Gd,7,1,Gd,Detchd,1998.0,Unf,3,642,TA,Y,0,35,272,0,0,0,No_pool,No_fence,0,2,2006,140000,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Stone/BrkTil/Slab,TA/Fa,Basement_present,Gd,SBrkr,Garage_present,Other,
4,5,60,84.0,14260,No_alley_access,Gtl,NoRidge,8,5,2000,2000,350.0,Gd,Av,GLQ,655,Unf,0,490,1145,Y,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,1,TA,Attchd,2000.0,RFn,3,836,TA,Y,192,84,0,0,0,0,No_pool,No_fence,0,12,2008,250000,FV/ RL,Irregular,Lvl,CulDSac/ FR,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,BrkFace,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
5,6,50,85.0,14115,No_alley_access,Gtl,Mitchel,5,5,1993,1995,0.0,TA,No,GLQ,732,Unf,0,64,796,Y,796,566,0,1362,1,0,1,1,1,1,TA,5,0,No_fireplace,Attchd,1993.0,Unf,2,480,TA,Y,40,30,0,320,0,0,No_pool,MnPrv,700,10,2009,143000,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,Other,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,TA/Ex,Wood/CBlock,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
6,7,20,75.0,10084,No_alley_access,Gtl,Somerst,8,5,2004,2005,186.0,Gd,Av,GLQ,1369,Unf,0,317,1686,Y,1694,0,0,1694,1,0,2,0,3,1,Gd,7,1,Gd,Attchd,2004.0,RFn,2,636,TA,Y,255,57,0,0,0,0,No_pool,No_fence,0,8,2007,307000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,Stone,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
7,8,60,,10382,No_alley_access,Gtl,NWAmes,7,6,1973,1973,240.0,TA,Mn,ALQ,859,BLQ,32,216,1107,Y,1107,983,0,2090,1,0,2,1,3,1,TA,7,2,TA,Attchd,1973.0,RFn,2,484,TA,Y,235,204,228,0,0,0,No_pool,No_fence,350,11,2009,200000,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,Stone,TA/Ex,Wood/CBlock,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
8,9,50,51.0,6120,No_alley_access,Gtl,OldTown,7,5,1931,1950,0.0,TA,No,Unf,0,Unf,0,952,952,Y,1022,752,0,1774,0,0,2,0,2,2,TA,8,2,TA,Detchd,1931.0,Unf,2,468,Fa,Y,90,0,205,0,0,0,No_pool,No_fence,0,4,2008,129900,Other,Reg,Lvl,Inside/Corner,RRAe/Feedr/Artery,1Fam/TwnhsE,Other,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Stone/BrkTil/Slab,TA/Fa,Basement_present,Gd,Other,Garage_present,Other,
9,10,190,50.0,7420,No_alley_access,Gtl,BrkSide,5,6,1939,1950,0.0,TA,No,GLQ,851,Unf,0,140,991,Y,1077,0,0,1077,1,0,1,0,2,2,TA,5,2,TA,Attchd,1939.0,RFn,1,205,Gd,Y,0,4,0,0,0,0,No_pool,No_fence,0,1,2008,118000,FV/ RL,Reg,Lvl,Inside/Corner,RRAe/Feedr/Artery,Duplex/Twnhs/2fmCon,Other,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Stone/BrkTil/Slab,TA/Fa,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
