,Id,MSSubClass,LotFrontage,LotArea,Alley,LandSlope,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,MS_Zoning_group,LotShape_group,LandContour_group,LotConfig_group,Condition1_group,BldgType_group,HouseStyle_group,RoofStyle_group,Exterior1st_group,Exterior2nd_group,MasVnrType_group,ExterCond_group,Foundation_group,BsmtQual_group,BsmtCond_group,HeatingQC_group,Electrical_group,GarageCond_group,SaleType_group,SaleCondition_group
0,1461,20,80.0,11622,No_alley_access,Gtl,NAmes,5,6,1961,1961,0.0,TA,No,Rec,468.0,LwQ,144.0,270.0,882.0,Y,896,0,0,896,0.0,0.0,1,0,2,1,TA,5,0,No_fireplace,Attchd,1961.0,Unf,1.0,730.0,TA,Y,140,0,0,0,120,0,No_pool,MnPrv,0,6,2010,Other,Reg,Lvl,Inside/Corner,RRAe/Feedr/Artery,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
1,1462,20,81.0,14267,No_alley_access,Gtl,NAmes,6,6,1958,1958,108.0,TA,No,ALQ,923.0,Unf,0.0,406.0,1329.0,Y,1329,0,0,1329,0.0,0.0,1,1,3,1,Gd,6,0,No_fireplace,Attchd,1958.0,Unf,1.0,312.0,TA,Y,393,36,0,0,0,0,No_pool,No_fence,12500,6,2010,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Shed/Flat/Hip/Mansard,Other,Other,BrkFace,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
2,1463,60,74.0,13830,No_alley_access,Gtl,Gilbert,5,5,1997,1998,0.0,TA,No,GLQ,791.0,Unf,0.0,137.0,928.0,Y,928,701,0,1629,0.0,0.0,2,1,3,1,TA,6,1,TA,Attchd,1997.0,Fin,2.0,482.0,TA,Y,212,34,0,0,0,0,No_pool,MnPrv,0,3,2010,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Gd,SBrkr,Garage_present,Other,Normal/Alloca
3,1464,60,78.0,9978,No_alley_access,Gtl,Gilbert,6,6,1998,1998,20.0,TA,No,GLQ,602.0,Unf,0.0,324.0,926.0,Y,926,678,0,1604,0.0,0.0,2,1,3,1,Gd,7,1,Gd,Attchd,1998.0,Fin,2.0,470.0,TA,Y,360,36,0,0,0,0,No_pool,No_fence,0,6,2010,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,BrkFace,TA/Ex,PConc,TA/Fa,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
4,1465,120,43.0,5005,No_alley_access,Gtl,StoneBr,8,5,1992,1992,0.0,Gd,No,ALQ,263.0,Unf,0.0,1017.0,1280.0,Y,1280,0,0,1280,0.0,0.0,2,0,2,1,Gd,5,0,No_fireplace,Attchd,1992.0,RFn,2.0,506.0,TA,Y,0,82,0,0,144,0,No_pool,No_fence,0,1,2010,FV/ RL,Irregular,Other,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
5,1466,60,75.0,10000,No_alley_access,Gtl,Gilbert,6,5,1993,1994,0.0,TA,No,Unf,0.0,Unf,0.0,763.0,763.0,Y,763,892,0,1655,0.0,0.0,2,1,3,1,TA,7,1,TA,Attchd,1993.0,Fin,2.0,440.0,TA,Y,157,84,0,0,0,0,No_pool,No_fence,0,4,2010,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Gd,SBrkr,Garage_present,Other,Normal/Alloca
6,1467,20,,7980,No_alley_access,Gtl,Gilbert,6,7,1992,2007,0.0,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,Y,1187,0,0,1187,1.0,0.0,2,0,3,1,TA,6,0,No_fireplace,Attchd,1992.0,Fin,2.0,420.0,TA,Y,483,21,0,0,0,0,No_pool,GdPrv,500,3,2010,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,Gd/Fa/Po,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
7,1468,60,63.0,8402,No_alley_access,Gtl,Gilbert,6,5,1998,1998,0.0,TA,No,Unf,0.0,Unf,0.0,789.0,789.0,Y,789,676,0,1465,0.0,0.0,2,1,3,1,TA,7,1,Gd,Attchd,1998.0,Fin,2.0,393.0,TA,Y,0,75,0,0,0,0,No_pool,No_fence,0,5,2010,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Gd,SBrkr,Garage_present,Other,Normal/Alloca
8,1469,20,85.0,10176,No_alley_access,Gtl,Gilbert,7,5,1990,1990,0.0,TA,Gd,GLQ,637.0,Unf,0.0,663.0,1300.0,Y,1341,0,0,1341,1.0,0.0,1,1,2,1,Gd,5,1,Po,Attchd,1990.0,Unf,2.0,506.0,TA,Y,192,0,0,0,0,0,No_pool,No_fence,0,2,2010,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Gd,SBrkr,Garage_present,Other,Normal/Alloca
9,1470,20,70.0,8400,No_alley_access,Gtl,NAmes,4,5,1970,1970,0.0,TA,No,ALQ,804.0,Rec,78.0,0.0,882.0,Y,882,0,0,882,1.0,0.0,1,0,2,1,TA,4,0,No_fireplace,Attchd,1970.0,Fin,2.0,525.0,TA,Y,240,0,0,0,0,0,No_pool,MnPrv,0,4,2010,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
10,1471,120,26.0,5858,No_alley_access,Gtl,NAmes,7,5,1999,1999,0.0,Gd,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,Y,1337,0,0,1337,1.0,0.0,2,0,2,1,Gd,5,1,Fa,Attchd,1999.0,Fin,2.0,511.0,TA,Y,203,68,0,0,0,0,No_pool,No_fence,0,6,2010,Other,Irregular,Lvl,CulDSac/ FR,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
11,1472,160,21.0,1680,No_alley_access,Gtl,BrDale,6,5,1971,1971,504.0,TA,No,Rec,156.0,Unf,0.0,327.0,483.0,Y,483,504,0,987,0.0,0.0,1,1,2,1,TA,5,0,No_fireplace,Detchd,1971.0,Unf,1.0,264.0,TA,Y,275,0,0,0,0,0,No_pool,No_fence,0,2,2010,Other,Reg,Lvl,Inside/Corner,Other,Duplex/Twnhs/2fmCon,2.5Fin/2Story,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,BrkFace,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
12,1473,160,21.0,1680,No_alley_access,Gtl,BrDale,5,5,1971,1971,492.0,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,Y,525,567,0,1092,0.0,0.0,1,1,3,1,TA,6,0,No_fireplace,Detchd,1997.0,Unf,1.0,320.0,TA,Y,0,0,0,0,0,0,No_pool,No_fence,0,3,2010,Other,Reg,Lvl,Inside/Corner,Other,Duplex/Twnhs/2fmCon,2.5Fin/2Story,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,BrkFace,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
13,1474,160,24.0,2280,No_alley_access,Gtl,NPkVill,6,6,1975,1975,0.0,TA,No,ALQ,514.0,Unf,0.0,341.0,855.0,Y,855,601,0,1456,0.0,0.0,2,1,3,1,Gd,6,1,TA,Attchd,1975.0,Unf,2.0,440.0,TA,Y,173,0,0,0,0,0,No_pool,No_fence,0,6,2010,FV/ RL,Reg,Lvl,CulDSac/ FR,Other,Duplex/Twnhs/2fmCon,2.5Fin/2Story,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
14,1475,120,24.0,2280,No_alley_access,Gtl,NPkVill,7,6,1975,1975,0.0,TA,No,Unf,0.0,Unf,0.0,836.0,836.0,Y,836,0,0,836,0.0,0.0,1,0,2,1,TA,4,0,No_fireplace,Attchd,1975.0,Unf,1.0,308.0,TA,Y,0,30,0,0,0,0,No_pool,No_fence,0,6,2010,FV/ RL,Reg,Lvl,CulDSac/ FR,Other,Duplex/Twnhs/2fmCon,1Story/SLvl,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Wood/CBlock,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
15,1476,60,102.0,12858,No_alley_access,Gtl,NridgHt,9,5,2009,2010,162.0,Ex,No,Unf,0.0,Unf,0.0,1590.0,1590.0,Y,1627,707,0,2334,0.0,0.0,2,1,3,1,Ex,10,1,Gd,Attchd,2009.0,Fin,3.0,751.0,TA,Y,144,133,0,0,0,0,No_pool,No_fence,0,1,2010,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,Stone,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,New,Parital
16,1477,20,94.0,12883,No_alley_access,Gtl,NridgHt,8,5,2009,2010,256.0,Gd,No,Unf,0.0,Unf,0.0,1544.0,1544.0,Y,1544,0,0,1544,0.0,0.0,2,0,3,1,Gd,7,0,No_fireplace,Attchd,2009.0,RFn,3.0,868.0,TA,Y,0,35,0,0,0,0,No_pool,No_fence,0,6,2010,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,Stone,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,New,Parital
17,1478,20,90.0,11520,No_alley_access,Gtl,NridgHt,9,5,2005,2005,615.0,Gd,No,GLQ,110.0,Unf,0.0,1588.0,1698.0,Y,1698,0,0,1698,0.0,0.0,2,0,3,1,Ex,7,1,Gd,Attchd,2005.0,Fin,3.0,730.0,TA,Y,192,74,0,0,0,0,No_pool,No_fence,0,6,2010,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Shed/Flat/Hip/Mansard,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,BrkFace,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
18,1479,20,79.0,14122,No_alley_access,Gtl,NridgHt,8,5,2005,2006,240.0,Gd,No,GLQ,28.0,Unf,0.0,1794.0,1822.0,Y,1822,0,0,1822,0.0,0.0,2,0,3,1,Ex,8,1,Gd,Attchd,2005.0,RFn,3.0,678.0,TA,Y,0,119,0,0,0,0,No_pool,No_fence,0,2,2010,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Shed/Flat/Hip/Mansard,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,BrkFace,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
19,1480,20,110.0,14300,No_alley_access,Mod,NridgHt,9,5,2003,2004,1095.0,Ex,Gd,GLQ,1373.0,Unf,0.0,1473.0,2846.0,Y,2696,0,0,2696,1.0,0.0,2,1,3,1,Ex,10,2,Gd,Attchd,2003.0,Fin,3.0,958.0,TA,Y,220,150,0,0,0,0,No_pool,No_fence,0,6,2010,FV/ RL,Reg,Other,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Shed/Flat/Hip/Mansard,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,BrkFace,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
20,1481,60,105.0,13650,No_alley_access,Gtl,NridgHt,8,5,2002,2002,232.0,Gd,Gd,GLQ,578.0,Unf,0.0,1093.0,1671.0,Y,1687,563,0,2250,1.0,0.0,2,1,3,1,Gd,7,1,Ex,Attchd,2002.0,Fin,3.0,756.0,TA,Y,238,130,0,0,0,0,No_pool,No_fence,0,6,2010,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,BrkFace,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
